p,kind,vkind,C,accuracy,voc
0.3,FreqModel,TfidfModel,1.0,0.6677316293929713,37160
0.7,FreqModel,TfidfModel,0.1,0.5990415335463258,86706
1.0,FreqModel,TfidfModel,0.1,0.6150159744408946,123867
0.5,FreqModel,TfidfModel,0.1,0.5886581469648562,61933
1.0,IdfModel,TfidfModel,0.1,0.6150159744408946,123867
0.7,FreqModel,IdfModel,0.1,0.615814696485623,86706
0.5,FreqModel,IdfModel,0.1,0.6038338658146964,61933
0.9,FreqModel,TfidfModel,0.1,0.6150159744408946,111480
0.3,FreqModel,IdfModel,1.0,0.6589456869009584,37160
0.3,FreqModel,IdfModel,0.1,0.5958466453674122,37160
